coin,snapshot height,balance
BTC(ALL),-,20914.70
BTC,951871,8683.53
BTC-TRC20,83191458,10422.90
jWBTC-TRC20,83191458,89.00
ThirdParty,_,1719.27
DOGE(All),-,454163535.64
DOGE,6229557,454163535.64
ETH(All),-,109573.31
ETH,25216406,4006.56
stETH,25216406,29051.02
ThirdParty,_,76515.73
HTX(All),-,235835183039990.00
HTX-ERC20,25216406,1034581507473.59
HTX-TRC20,83191458,234800601532516.00
SOL(All),-,420789.40
SOL,423406343,420789.40
TRX(All),-,9242584856.53
TRX,83191458,8320111050.59
jsTRX,83191458,922473805.94
USDC(All),-,238931193.18
ERC20-USDC,25216406,473420.20
BEP20-USDC,101527929,987263.9
ThirdParty,_,237470509.07
U(All),-,38446011.51
BEP20-U,101527929,412000
TRC20-U,83191458,20469173.03
ThirdParty,_,17564838.48
USDT(All),-,906548772.59
stUSDT-TRC20,83191458,39265232.86
USDT-Avalanche C-Chain,86837700,613304.95
USDT-ERC20,25216406,3609746.46
USDT-TRC20,83191458,2526954.00
jUSDT-TRC20,83191458,17357276.12
USDT-aEthUSDT,25216406,14303345.08
USDT-BEP20,101527929,10183407.43
ThirdParty,_,818689505.68
USDS(ALL),-,537679.10
ERC20-USDS,25216406,537679.10
USDD(ALL),-,121569640.87
ERC20-USDD,25216406,44805205.2
TRC20-USDD,83191458,297692.00
TRC20-JUSDD,83191458,76466743.67
WLFI(All),-,25840193.24
WLFI,25216406,25840193.24
XRP(All),-,28753853.73
XRP,104607823,28753853.73

coin,address,snapshot height,balance,message,signature
BTC,143gLvWYUojXaWZRrxquRKpVNTkhmr415B,951871,6752.70,huobi,H5uVlAKs/aB7sqmIZ0h84aSNv8nWAhgffOP5s9UHyuoeEG1ni+DhVpYKF9T+e4jKXsXDUEHOObevLqYocBslD4c=
BTC,12qTdZHx6f77aQ74CPCZGSY47VaRwYjVD8,951871,970.80,huobi,IE2P89Qbbay5kzR+mUQyzkJPCF6MpZpt9foZzM63HyKZbe1PegYe7o8qvGA4sIPCQ2VkJuss4vzsMcmyBNK0mRk=
BTC,1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ,951871,8.38,King will be back!,IJtEWgK2V8QxKUCWpVlfMTpVhwS2My/2Notvcw2lPBuHACHkxUESh8BoPL1vzQ4hkqYg/EZbQm9hpPKKcZJwY7E=
BTC,1LXzGrDQqKqVBqxfGDUyhC6rTRBN5s8Sbj,951871,829.68,huobi,IDxEvxbNOXY2KeARpazYGHu4ZPPx+/LJpG+dItGV1GFNZoR5+sVekMFAf2ICYE0CwULl9PDejDl8aM6fnGheCFM=
BTC,12AxQ3mM2rwY2mwLa5qNVY65uHoQGfvSVF,951871,80.57,-,-
BTC,1AQLXAB6aXSVbRMjbhSBudLf1kcsbWSEjg,951871,41.40,King will be back!,H1JDQp1uGjVNXcXdpUUUnbiRS1YyttPeo8btOTuA86tXLEIWrVeoNlZsjufIBkfR/f5wqxklyHg1wnNY3cHqIrw=
BTC-TRC20,TDToUxX8sH4z6moQpK3ZLAN24eupu2ivA4,83191458,10313.93,huobi,8fa14929f7d46128d4b0b89fde15396ff1f322f516b10677c523d1e9b9b52a027f85234f880aacb806631d6f2102e5947408415f2d5531d81924215964c78c8c01
BTC-TRC20,TFTWNgDBkQ5wQoP8RXpRznnHvAVV8x5jLu,83191458,32.98,King will be back!,0x0521aef6a23042aecda44a731cd89349b36d54b425881dc475ba37104a6b1e934497275d796aa03a8551eb23bcb51660b67314b8db1ee03ba45fb692b44426af1c
BTC-TRC20,TK86Qm97uM848dMk8G7xNbJB7zG1uW3h1n,83191458,76,-,-
jWBTC-TRC20,TDToUxX8sH4z6moQpK3ZLAN24eupu2ivA4,83191458,89.00,huobi,8fa14929f7d46128d4b0b89fde15396ff1f322f516b10677c523d1e9b9b52a027f85234f880aacb806631d6f2102e5947408415f2d5531d81924215964c78c8c01
